300, 300
267, 189
960, 576
453, 231
300, 168
266, 190
300, 300
300, 300
253, 199
1608, 1078
300, 300
300, 300
300, 300
1464, 976
736, 490
1024, 689
360, 272
816, 612
1920, 1200
275, 183
300, 300
271, 186
1600, 1200
252, 200
284, 177
300, 300
700, 525
300, 300
830, 506
4320, 3240
286, 176
648, 360
282, 179
300, 168
300, 300
700, 400
300, 300
300, 300
400, 242
275, 183
1024, 768
1255, 491
300, 300
474, 237
259, 194
800, 525
474, 275
474, 355
300, 300
320, 240
300, 300
700, 525
300, 168
360, 240
510, 390
300, 300
3835, 5752
1920, 1280
275, 183
720, 480
640, 640
550, 550
695, 340
258, 195
299, 168
259, 195
964, 597
916, 557
1280, 720
252, 200
275, 183
213, 319
600, 399
300, 300
300, 300
297, 170
300, 300
300, 300
194, 259
300, 300
300, 300
300, 300
279, 180
2000, 928
800, 533
3872, 2592
960, 515
300, 300
370, 272
300, 300
400, 260
300, 300
1280, 720
300, 300
4000, 2667
2256, 1504
300, 168
284, 177
1200, 1110
1600, 1071
653, 279
1024, 768
450, 273
288, 175
234, 215
300, 300
300, 300
301, 168
275, 183
271, 186
300, 300
259, 194
300, 300
275, 183
300, 300
300, 300
300, 168
800, 531
1080, 720
1600, 1086
1280, 720
300, 300
314, 161
347, 145
300, 300
275, 183
300, 300
195, 259
873, 496
1168, 693
300, 300
1600, 894
300, 300
500, 351
643, 361
310, 238
1024, 686
300, 300
1264, 580
300, 300
259, 194
276, 183
3648, 2736
300, 300
1280, 720
259, 194
970, 545
300, 300
300, 300
259, 194
300, 300
300, 300
300, 300
300, 300
2315, 1540
233, 217
1140, 570
318, 159
600, 249
259, 194
300, 300
300, 300
600, 450
800, 600
259, 194
335, 150
251, 201
282, 179
900, 550
279, 180
300, 300
1038, 692
300, 300
960, 720
275, 183
846, 620
1280, 720
400, 202
806, 537
359, 140
300, 168
300, 300
612, 612
300, 300
300, 300
300, 300
499, 333
2048, 1371
680, 454
720, 405
1920, 1200
300, 300
720, 1280
640, 480
600, 450
300, 300
300, 300
350, 158
225, 225
1594, 1006
300, 300
310, 163
736, 552
225, 225
510, 269
256, 341
800, 536
275, 183
300, 300
800, 600
300, 300
300, 300
450, 112
300, 168
300, 300
800, 532
685, 457
300, 168
300, 300
305, 165
1800, 1200
275, 183
400, 270
672, 186
279, 181
750, 540
306, 164
1296, 864
700, 525
300, 300
300, 168
300, 300
300, 300
275, 183
225, 225
1304, 680
577, 387
300, 300
1020, 765
804, 536
194, 259
994, 469
300, 300
1024, 686
225, 225
1024, 768
1280, 720
275, 183
300, 300
300, 300
300, 300
314, 161
299, 168
300, 300
1600, 1200
275, 183
275, 183
300, 300
275, 183
690, 501
300, 300
600, 404
600, 400
1280, 720
2550, 1572
876, 588
300, 300
183, 276
1024, 768
300, 300
300, 300
700, 453
650, 365
272, 186
300, 300
680, 454
1386, 1040
300, 168
596, 488
300, 300
960, 576
300, 300
920, 566
907, 630
600, 600
1024, 768
1920, 1280
276, 168
278, 181
300, 300
300, 300
550, 335
835, 553
194, 259
312, 209
480, 270
265, 164
279, 180
800, 600
326, 245
300, 300
290, 174
300, 300
300, 300
300, 300
300, 300
300, 300
1023, 435
275, 183
945, 768
984, 739
259, 194
300, 300
259, 194
800, 550
268, 188
1024, 685
450, 300
300, 300
216, 219
300, 300
294, 171
300, 300
300, 300
696, 466
275, 183
1920, 1080
300, 300
520, 346
1262, 660
300, 300
275, 183
1280, 720
300, 300
1280, 857
1600, 998
1199, 542
282, 179
650, 412
255, 198
259, 194
850, 600
299, 168
1335, 681
1280, 720
1024, 768
300, 300
1280, 720
312, 162
800, 533
300, 300
960, 544
300, 300
1200, 885
1347, 898
600, 600
261, 193
300, 300
300, 300
1200, 677
1279, 851
300, 300
853, 480
300, 300
300, 300
1800, 1200
300, 300
300, 300
300, 300
1340, 525
852, 480
1500, 1125
259, 194
300, 300
500, 500
600, 600
259, 194
300, 300
300, 300
300, 300
259, 194
208, 133
1024, 768
300, 300
292, 172
300, 300
1680, 1050
500, 333
1280, 721
275, 183
523, 396
300, 300
1200, 630
735, 492
275, 183
1920, 1080
300, 300
2100, 1500
240, 160
660, 359
300, 300
516, 447
1600, 958
300, 300
500, 375
1280, 960
1280, 720
1200, 801
284, 161
300, 300
275, 183
284, 177
259, 194
300, 300
300, 300
300, 300
300, 168
259, 149
300, 168
300, 300
300, 168
300, 300
1200, 800
1920, 1080
640, 481
388, 255
1024, 768
751, 825
284, 177
225, 225
231, 218
275, 183
354, 142
474, 316
800, 500
1412, 570
259, 194
300, 300
277, 182
300, 300
318, 159
300, 300
280, 180
1920, 1221
275, 183
275, 183
1280, 853
300, 300
300, 300
300, 300
265, 190
201, 251
600, 337
300, 300
700, 273
600, 438
300, 300
892, 502
931, 561
310, 163
100, 100
300, 300
675, 900
300, 300
318, 159
1080, 720
259, 194
300, 300
300, 300
300, 300
1080, 810
852, 480
275, 183
275, 183
1024, 767
275, 183
300, 168
1600, 1200
275, 183
266, 190
1024, 768
300, 300
275, 183
1200, 900
1008, 774
720, 960
259, 194
300, 300
747, 560
474, 355
735, 551
275, 183
300, 300
640, 424
198, 254
277, 182
300, 300
300, 300
300, 300
291, 173
300, 300
300, 168
300, 300
310, 232
225, 225
221, 161
211, 239
1024, 640
300, 300
480, 360
300, 300
300, 300
300, 300
750, 500
600, 337
266, 190
300, 300
300, 300
800, 517
346, 146
300, 168
275, 183
1280, 720
259, 194
275, 183
1024, 768
960, 641
1200, 751
1280, 720
300, 300
300, 300
268, 188
275, 183
300, 300
300, 300
300, 168
